timestamp,integer,char
1694760871,2,Z
1694760871,3,L
1694760871,7,V
1694760871,10,S
1694760871,8,M
1694760871,9,T
1694760871,8,W
1694760871,9,L
1694760871,2,M
1694760871,9,F
1694760871,3,S
1694760871,10,F
1694760871,7,O
1694760871,2,N
1694760871,6,H
1694760871,9,J
1694760871,7,E
1694760871,6,U
1694760871,10,H
1694760871,3,N
1694760871,4,X
1694760871,10,O
1694760871,1,N
1694760871,7,Z
1694760871,3,V
1694760871,5,S
1694760871,7,L
1694760871,5,W
1694760871,4,F
1694760871,9,O
1694760871,1,W
1694760871,6,Z
1694760871,5,P
1694760871,10,J
1694760871,8,U
1694760871,5,E
1694760871,1,I
1694760871,7,S
1694760871,1,K
1694760871,5,C
1694760871,10,G
1694760871,7,A
1694760871,2,Y
1694760871,9,J
1694760871,3,Y
1694760871,6,W
1694760871,3,O
1694760871,8,X
1694760871,6,F
1694760871,2,T
1694760871,9,L
1694760871,9,T
1694760871,10,U
1694760871,9,K
1694760871,6,L
1694760871,4,T
1694760871,8,T
1694760871,7,V
1694760871,9,Y
1694760871,9,Q
1694760871,9,O
1694760871,8,G
1694760871,3,X
1694760871,2,X
1694760871,4,J
1694760871,10,Z
1694760871,6,U
1694760871,1,E
1694760871,2,D
1694760871,2,J
1694760871,4,T
1694760871,8,K
1694760871,2,Z
1694760871,3,V
1694760871,7,Y
1694760871,9,D
1694760871,1,Z
1694760871,6,H
1694760871,3,T
1694760871,2,O
1694760871,3,T
1694760871,9,H
1694760871,7,O
1694760871,1,Z
1694760871,3,Y
1694760871,8,C
1694760871,8,P
1694760871,4,O
1694760871,10,C
1694760871,6,J
1694760871,2,S
1694760871,6,D
1694760871,2,D
1694760871,3,G
1694760871,6,Q
1694760871,8,S
1694760871,2,X
1694760871,8,I
1694760871,10,H
1694760871,8,F
1694760871,5,U
1694760871,10,U
1694760871,2,G
1694760871,7,F
1694760871,8,D
1694760871,2,I
1694760871,10,K
1694760871,2,L
1694760871,4,P
1694760871,4,J
1694760871,10,S
1694760871,2,P
1694760871,5,U
1694760871,10,Y
1694760871,7,Y
1694760871,7,V
1694760871,5,O
1694760871,9,S
1694760871,4,D
1694760871,5,R
1694760871,4,G
1694760871,5,J
1694760871,1,I
1694760871,1,F
1694760871,10,P
1694760871,7,K
1694760871,7,T
1694760871,5,F
1694760871,4,P
1694760871,1,G
1694760871,3,H
1694760871,4,P
1694760871,10,F
1694760871,1,I
1694760871,2,W
1694760871,9,Q
1694760871,4,H
1694760871,7,I
1694760871,6,G
1694760871,8,C
1694760871,10,D
1694760871,8,P
1694760871,9,D
1694760871,10,N
1694760871,10,T
1694760871,9,F
1694760871,5,S
1694760871,2,K
1694760871,9,V
1694760871,9,L
1694760871,9,K
1694760871,7,R
1694760871,3,A
1694760871,5,H
1694760871,8,F
1694760871,8,C
1694760871,6,C
1694760871,5,V
1694760871,8,P
1694760871,6,X
1694760871,7,H
1694760871,7,W
1694760871,2,E
1694760871,2,C
1694760871,5,R
1694760871,3,F
1694760871,1,V
1694760871,9,G
1694760871,5,K
1694760871,2,M
1694760871,10,J
1694760871,5,R
1694760871,1,S
1694760871,1,H
1694760871,8,C
1694760871,10,J
1694760871,6,Y
1694760871,5,Y
1694760871,9,C
1694760871,8,E
1694760871,10,E
1694760871,7,R
1694760871,8,J
1694760871,6,O
1694760871,9,J
1694760871,2,D
1694760871,7,C
1694760871,2,J
1694760871,4,P
1694760871,1,N
1694760871,4,L
1694760871,3,P
1694760871,4,J
1694760871,4,L
1694760871,8,C
1694760871,8,O
1694760871,2,Z
1694760871,4,V
1694760871,3,Z
1694760871,9,U
1694760871,9,J
1694760871,7,P
1694760871,4,Y
1694760871,1,T
1694760871,9,K
1694760871,10,S
1694760871,9,Z
1694760871,5,X
1694760871,1,C
1694760871,10,M
1694760871,1,Y
1694760871,9,R
1694760871,5,P
1694760871,1,H
1694760871,1,Q
1694760871,9,V
1694760871,4,H
1694760871,4,N
1694760871,8,R
1694760871,2,G
1694760871,6,Q
1694760871,5,J
1694760871,4,P
1694760871,1,O
1694760871,8,Y
1694760871,10,D
1694760871,4,H
1694760871,2,K
1694760871,6,D
1694760871,2,P
1694760871,8,G
1694760871,2,Y
1694760871,1,Y
1694760871,1,Y
1694760871,5,L
1694760871,9,R
1694760871,9,G
1694760871,9,D
1694760871,10,X
1694760871,1,P
1694760871,1,O
1694760871,7,S
1694760871,2,U
1694760871,8,C
1694760871,4,S
1694760871,10,X
1694760871,10,T
1694760871,8,L
1694760871,7,L
1694760871,6,D
1694760871,2,H
1694760871,4,Y
1694760871,2,I
1694760871,2,D
1694760871,9,G
1694760871,1,Z
1694760871,5,C
1694760871,8,E
1694760871,10,T
1694760871,1,D
1694760871,10,N
1694760871,8,E
1694760871,4,Q
1694760871,7,H
1694760871,4,Y
1694760871,1,N
1694760871,4,H
1694760871,9,X
1694760871,6,T
1694760871,3,X
1694760871,8,V
1694760871,6,L
1694760871,4,G
1694760871,5,Q
1694760871,6,J
1694760871,10,F
1694760871,10,G
1694760871,1,O
1694760871,4,Q
1694760871,1,J
1694760871,4,C
1694760871,10,J
1694760871,1,Q
1694760871,5,T
1694760871,5,T
1694760871,6,E
1694760871,10,Z
1694760871,1,T
1694760871,3,I
1694760871,1,Y
1694760871,1,D
1694760871,1,S
1694760871,8,F
1694760871,6,C
1694760871,3,T
1694760871,10,U
1694760871,4,W
1694760871,8,V
1694760871,1,T
1694760871,10,N
1694760871,2,R
1694760871,6,P
1694760871,9,G
1694760871,1,X
1694760871,3,T
1694760871,9,G
1694760871,5,R
1694760871,3,F
1694760871,1,Y
1694760871,5,H
1694760871,9,M
1694760871,3,R
1694760871,5,G
1694760871,6,G
1694760871,3,R
1694760871,9,T
1694760871,10,F
1694760871,2,G
1694760871,8,J
1694760871,8,O
1694760871,9,O
1694760871,8,L
1694760871,7,Z
1694760871,3,L
1694760871,7,L
1694760871,7,N
1694760871,1,Q
1694760871,5,Q
1694760871,7,N
1694760871,6,K
1694760871,8,P
1694760871,7,M
1694760871,6,C
1694760871,10,O
1694760871,6,Y
1694760871,2,X
1694760871,1,E
1694760871,8,H
1694760871,3,Y
1694760871,6,D
1694760871,9,Z
1694760871,1,V
1694760871,9,L
1694760871,6,S
1694760871,2,R
1694760871,2,V
1694760871,8,W
1694760871,7,C
1694760871,7,Q
1694760871,2,X
1694760871,7,M
1694760871,7,M
1694760871,10,H
1694760871,9,C
1694760871,7,D
1694760871,4,S
1694760871,10,P
1694760871,8,L
1694760871,6,X
1694760871,3,W
1694760871,1,N
1694760871,1,M
1694760871,4,W
1694760871,7,I
1694760871,1,K
1694760871,5,C
1694760871,10,M
1694760871,10,W
1694760871,8,G
1694760871,6,W
1694760871,3,H
1694760871,4,E
1694760871,4,G
1694760871,6,Q
1694760871,7,D
1694760871,8,F
1694760871,6,T
1694760871,7,V
1694760871,10,X
1694760871,2,I
1694760871,8,E
1694760871,6,D
1694760871,4,U
1694760871,4,K
1694760871,6,J
1694760871,10,M
1694760871,6,I
1694760871,8,N
1694760871,2,G
1694760871,6,T
1694760871,7,T
1694760871,10,C
1694760871,3,V
1694760871,10,N
1694760871,2,H
1694760871,7,N
1694760871,5,L
1694760871,3,C
1694760871,1,J
1694760871,1,P
1694760871,5,D
1694760871,1,S
1694760871,8,W
1694760871,3,Y
1694760871,10,D
1694760871,4,Y
1694760871,2,F
1694760871,9,N
1694760871,10,Q
1694760871,6,P
1694760871,10,V
1694760871,1,P
1694760871,4,D
1694760871,8,Z
1694760871,9,U
1694760871,1,L
1694760871,6,P
